CombinedSpineCont... started logging at time 09072018_170247 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
0.0101,0,-0.646415,1.5488,-0.0755,-0.646415,1.5488,0.0755,-0.0014819,1.54878,-0.0755,-0.00148184,1.54878,0.0755,
0.0202,0,-0.642847,1.54543,-0.0755004,-0.642848,1.54543,0.0754996,-0.00503193,1.54538,-0.0755004,-0.00503132,1.54538,0.0754996,
0.0303,0,-0.638263,1.54024,-0.0755013,-0.638265,1.54024,0.0754987,-0.00977277,1.54011,-0.0755014,-0.00977075,1.54011,0.0754986,
0.0404,0,-0.633115,1.5335,-0.0755029,-0.633119,1.5335,0.0754971,-0.0151863,1.53327,-0.0755033,-0.0151821,1.53327,0.0754967,
0.0505,0,-0.627639,1.52544,-0.0755046,-0.627644,1.52544,0.0754954,-0.0209669,1.5251,-0.0755057,-0.0209605,1.5251,0.0754943,
0.0606,0,-0.621989,1.51629,-0.0755056,-0.621993,1.5163,0.0754944,-0.0269168,1.51584,-0.0755076,-0.0269093,1.51584,0.0754924,
0.0707,0,-0.616301,1.50624,-0.0755048,-0.616301,1.50624,0.0754952,-0.0328776,1.50569,-0.0755077,-0.032872,1.50569,0.0754923,
0.0808,0,-0.613522,1.50039,-0.07551,-0.613516,1.50039,0.07549,-0.0356136,1.50019,-0.0755058,-0.0356118,1.50019,0.0754942,
0.0909,0,-0.615694,1.50016,-0.0755241,-0.615664,1.50016,0.0754759,-0.0343297,1.50018,-0.0755043,-0.0343295,1.50018,0.0754957,
0.101,0,-0.617975,1.50013,-0.0755718,-0.617934,1.50013,0.0754282,-0.0321972,1.50015,-0.0755029,-0.0321962,1.50015,0.0754971,
0.1111,0,-0.620511,1.50011,-0.0756074,-0.62047,1.50011,0.0753926,-0.0294372,1.50012,-0.0755011,-0.0294352,1.50012,0.0754989,
0.1212,0,-0.623081,1.50009,-0.0756372,-0.62305,1.50009,0.0753628,-0.0263445,1.5001,-0.0754995,-0.0263428,1.5001,0.0755005,
0.1313,0,-0.62555,1.50007,-0.0756631,-0.62553,1.50007,0.0753369,-0.0232114,1.50007,-0.075499,-0.0232115,1.50007,0.075501,
0.1414,0,-0.627839,1.50006,-0.0756858,-0.627834,1.50006,0.0753142,-0.020269,1.50005,-0.0755002,-0.0202716,1.50005,0.0754998,
0.1515,0,-0.629913,1.50004,-0.0757057,-0.629923,1.50004,0.0752943,-0.0176622,1.50004,-0.0755034,-0.0176667,1.50004,0.0754966,
0.1616,0,-0.631762,1.50003,-0.0757228,-0.631788,1.50003,0.0752772,-0.0154538,1.50003,-0.0755086,-0.0154585,1.50003,0.0754914,
0.1717,0,-0.63339,1.50003,-0.0757373,-0.633431,1.50003,0.0752626,-0.0136456,1.50002,-0.0755154,-0.013648,1.50002,0.0754846,
0.1818,0,-0.634804,1.50002,-0.0757497,-0.634861,1.50002,0.0752503,-0.0122029,1.50001,-0.075523,-0.0122003,1.50001,0.075477,
0.1919,0,-0.636017,1.50002,-0.0757603,-0.636092,1.50002,0.0752397,-0.0110757,1.50001,-0.0755304,-0.0110654,1.50001,0.0754696,
