CombinedSpineCont... started logging at time 09072018_160252 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
0.0101,0,-0.645015,1.54836,-0.0754996,-0.645015,1.54836,0.0755004,-0.00279809,1.54833,-0.0754995,-0.00279896,1.54833,0.0755005,
0.0202,0,-0.638489,1.54393,-0.0754952,-0.638481,1.54393,0.0755048,-0.00924301,1.54385,-0.075495,-0.00925141,1.54385,0.075505,
0.0303,0,-0.630586,1.53739,-0.0754824,-0.630557,1.53739,0.0755176,-0.0173422,1.53721,-0.0754812,-0.0173709,1.53721,0.0755188,
0.0404,0,-0.6224,1.52926,-0.0754593,-0.622335,1.52927,0.0755407,-0.0259278,1.52895,-0.0754551,-0.0259914,1.52895,0.0755449,
0.0505,0,-0.614435,1.51999,-0.0754282,-0.614322,1.52,0.0755718,-0.0343878,1.51953,-0.0754174,-0.0344976,1.51954,0.0755826,
0.0606,0,-0.606893,1.50991,-0.0753937,-0.606727,1.50992,0.0756062,-0.0424232,1.50931,-0.0753729,-0.0425838,1.50933,0.075627,
0.0707,0,-0.600501,1.50033,-0.075375,-0.600287,1.50032,0.0756249,-0.0481704,1.50053,-0.0754375,-0.0485427,1.50038,0.075562,
0.0808,0,-0.602334,1.50028,-0.0753172,-0.602017,1.50028,0.0756825,-0.0438321,1.50097,-0.0753232,-0.0451172,1.50027,0.0756698,
0.0909,0,-0.604303,1.50026,-0.0753389,-0.603904,1.50026,0.0756605,-0.0398032,1.50054,-0.0738907,-0.0420572,1.50024,0.0770922,
0.101,0,-0.606468,1.50024,-0.0753789,-0.605987,1.50024,0.0756204,-0.036715,1.50021,-0.0729384,-0.0393546,1.50021,0.0780385,
0.1111,0,-0.608553,1.50021,-0.075432,-0.60798,1.50021,0.0755669,-0.0344891,1.50019,-0.0726874,-0.0371378,1.50019,0.0782893,
0.1212,0,-0.610346,1.50019,-0.0754913,-0.609687,1.50019,0.0755072,-0.0326568,1.50017,-0.0725644,-0.0352414,1.50017,0.0784135,
