CombinedSpineCont... started logging at time 09072018_121117 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
0.0101,0,-0.646885,1.54894,-0.0755,-0.646885,1.54894,0.0755,-0.00103911,1.54893,-0.0755,-0.00103917,1.54893,0.0755,
0.0202,0,-0.644347,1.54596,-0.0754997,-0.644346,1.54596,0.0755003,-0.00357303,1.54591,-0.0754997,-0.00357362,1.54591,0.0755003,
0.0303,0,-0.64101,1.54128,-0.0754987,-0.641007,1.54128,0.0755013,-0.00705016,1.54117,-0.0754987,-0.00705234,1.54117,0.0755013,
0.0404,0,-0.637133,1.5351,-0.0754965,-0.637127,1.5351,0.0755035,-0.0111528,1.53491,-0.0754966,-0.0111581,1.53491,0.0755034,
0.0505,0,-0.632853,1.52761,-0.0754927,-0.63284,1.52761,0.0755073,-0.0156879,1.52732,-0.0754928,-0.0156985,1.52732,0.0755072,
0.0606,0,-0.628271,1.51897,-0.0754869,-0.628248,1.51897,0.0755131,-0.0205169,1.51858,-0.075487,-0.0205355,1.51858,0.075513,
0.0707,0,-0.623498,1.50933,-0.0754787,-0.623462,1.50933,0.0755213,-0.0255144,1.50884,-0.0754784,-0.0255441,1.50885,0.0755216,
0.0808,0,-0.619275,1.50018,-0.0754712,-0.61922,1.50017,0.0755288,-0.0296516,1.50024,-0.075482,-0.029695,1.50024,0.075518,
0.0909,0,-0.620983,1.50012,-0.075449,-0.620885,1.50012,0.075551,-0.0280271,1.50013,-0.0754557,-0.028118,1.50013,0.0755443,
0.101,0,-0.623426,1.5001,-0.0754486,-0.623303,1.5001,0.0755514,-0.0257942,1.50011,-0.075488,-0.0258865,1.50011,0.075512,
0.1111,0,-0.62628,1.50007,-0.0754489,-0.626143,1.50007,0.075551,-0.0228198,1.50008,-0.0755122,-0.0229061,1.50008,0.0754878,
0.1212,0,-0.629289,1.50005,-0.0754509,-0.629143,1.50005,0.075549,-0.0193892,1.50006,-0.075533,-0.0194683,1.50006,0.075467,
0.1313,0,-0.63228,1.50004,-0.0754552,-0.63213,1.50004,0.0755447,-0.0157909,1.50004,-0.075552,-0.0158639,1.50004,0.075448,
