CombinedSpineCont... started logging at time 09072018_171842 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
0.0101,0,-0.645482,1.5485,-0.0755003,-0.645483,1.5485,0.0754997,-0.00236004,1.54848,-0.0755003,-0.00235951,1.54848,0.0754997,
0.0202,0,-0.63992,1.54442,-0.075503,-0.639925,1.54442,0.075497,-0.00786447,1.54435,-0.0755031,-0.00785933,1.54435,0.0754969,
0.0303,0,-0.633049,1.5383,-0.075511,-0.633067,1.5383,0.075489,-0.0149178,1.53814,-0.0755116,-0.0149001,1.53814,0.0754884,
0.0404,0,-0.62574,1.53059,-0.0755254,-0.625779,1.53059,0.0754746,-0.0225758,1.5303,-0.0755278,-0.0225367,1.5303,0.0754722,
0.0505,0,-0.618416,1.52166,-0.0755452,-0.618485,1.52166,0.0754548,-0.0303197,1.52124,-0.0755514,-0.0302519,1.52123,0.0754486,
0.0606,0,-0.61129,1.51181,-0.0755671,-0.611391,1.51181,0.0754329,-0.0378659,1.51126,-0.0755793,-0.0377668,1.51125,0.0754207,
0.0707,0,-0.604501,1.50129,-0.0755873,-0.604631,1.50129,0.0754126,-0.0450291,1.50064,-0.0756065,-0.0449017,1.50062,0.0753934,
0.0808,0,-0.605076,1.50025,-0.075625,-0.605267,1.50025,0.0753749,-0.0439765,1.50038,-0.075276,-0.0438275,1.50062,0.0757238,
0.0909,0,-0.606894,1.50023,-0.0756258,-0.607125,1.50023,0.075374,-0.0419606,1.50024,-0.0756476,-0.0415923,1.50024,0.0753519,
0.101,0,-0.609019,1.50021,-0.0756252,-0.609274,1.50021,0.0753746,-0.039775,1.50022,-0.0755897,-0.0394176,1.50022,0.0754099,
0.1111,0,-0.611174,1.50019,-0.0756251,-0.611451,1.50019,0.0753747,-0.0373495,1.50019,-0.0755456,-0.0370035,1.50019,0.075454,
0.1212,0,-0.61316,1.50017,-0.0756252,-0.613461,1.50017,0.0753745,-0.034913,1.50017,-0.0755112,-0.0345704,1.50017,0.0754884,
0.1313,0,-0.614874,1.50015,-0.0756252,-0.615202,1.50015,0.0753745,-0.0326619,1.50015,-0.0754846,-0.0323132,1.50015,0.075515,
0.1414,0,-0.61629,1.50013,-0.0756248,-0.616649,1.50013,0.0753748,-0.0307269,1.50013,-0.0754647,-0.0303639,1.50013,0.0755349,
0.1515,0,-0.617429,1.50012,-0.0756244,-0.617822,1.50012,0.0753751,-0.0291663,1.50011,-0.0754508,-0.0287824,1.50011,0.0755487,
0.1616,0,-0.618326,1.50011,-0.0756242,-0.618755,1.50011,0.0753752,-0.0279809,1.5001,-0.0754421,-0.0275709,1.5001,0.0755573,
0.1717,0,-0.619013,1.5001,-0.0756242,-0.619481,1.5001,0.0753751,-0.0271356,1.50009,-0.0754374,-0.0266957,1.50009,0.075562,
0.1818,0,-0.619517,1.5001,-0.0756243,-0.620026,1.5001,0.0753749,-0.0265809,1.50009,-0.0754352,-0.0261085,1.50009,0.0755641,
0.1919,0,-0.619855,1.50009,-0.0756242,-0.620407,1.50009,0.0753748,-0.026268,1.50008,-0.0754341,-0.0257613,1.50008,0.075565,
0.202,0,-0.620038,1.50009,-0.0756239,-0.620632,1.50009,0.0753749,-0.026157,1.50008,-0.0754335,-0.0256149,1.50008,0.0755656,
0.2121,0,-0.620077,1.50009,-0.0756233,-0.620713,1.50009,0.0753753,-0.0261557,1.50008,-0.0754326,-0.0255911,1.50008,0.0755663,
0.2222,0,-0.620077,1.50009,-0.0756226,-0.620727,1.50009,0.075376,-0.0261557,1.50008,-0.075432,-0.0255896,1.50008,0.0755669,
0.2323,0,-0.620077,1.50009,-0.0756223,-0.620727,1.50009,0.0753763,-0.0261555,1.50008,-0.0754316,-0.0255894,1.50008,0.0755674,
0.2424,0,-0.620077,1.50009,-0.0756221,-0.620727,1.50009,0.0753765,-0.0261554,1.50008,-0.0754312,-0.0255893,1.50008,0.0755678,
0.2525,0,-0.620077,1.50009,-0.0756219,-0.620728,1.50009,0.0753767,-0.0261552,1.50008,-0.0754308,-0.0255891,1.50008,0.0755681,
0.2626,0,-0.620077,1.50009,-0.0756218,-0.620728,1.50009,0.0753768,-0.026155,1.50009,-0.0754305,-0.0255889,1.50009,0.0755684,
0.2727,0,-0.620078,1.5001,-0.0756217,-0.620728,1.5001,0.0753769,-0.0261539,1.50009,-0.0754303,-0.0255876,1.50009,0.0755686,
0.2828,0,-0.62008,1.5001,-0.0756216,-0.62073,1.5001,0.075377,-0.0261513,1.50009,-0.0754301,-0.0255848,1.50009,0.0755688,
0.2929,0,-0.620082,1.5001,-0.0756216,-0.620733,1.5001,0.075377,-0.026148,1.50009,-0.0754299,-0.0255815,1.50009,0.075569,
0.303,0,-0.620085,1.5001,-0.0756215,-0.620735,1.5001,0.0753771,-0.0261442,1.50009,-0.0754298,-0.0255779,1.50009,0.0755692,
0.3131,0,-0.620088,1.5001,-0.0756215,-0.620738,1.5001,0.0753771,-0.0261403,1.50009,-0.0754295,-0.0255742,1.50009,0.0755695,
0.3232,0,-0.620091,1.5001,-0.0756215,-0.620741,1.5001,0.0753771,-0.0261363,1.50009,-0.0754293,-0.0255705,1.50009,0.0755696,
0.3333,0,-0.620093,1.5001,-0.0756215,-0.620743,1.5001,0.0753771,-0.0261324,1.50009,-0.075429,-0.0255669,1.50009,0.0755699,
0.3434,0,-0.620095,1.5001,-0.0756215,-0.620745,1.5001,0.0753771,-0.0261287,1.50009,-0.0754289,-0.0255634,1.50009,0.07557,
0.3535,0,-0.620096,1.5001,-0.0756215,-0.620746,1.5001,0.0753771,-0.0261254,1.50009,-0.0754287,-0.0255603,1.50009,0.0755702,
0.3636,0,-0.620097,1.5001,-0.0756215,-0.620746,1.5001,0.0753771,-0.0261224,1.50009,-0.0754286,-0.0255575,1.50009,0.0755703,
0.3737,0,-0.620097,1.5001,-0.0756215,-0.620747,1.5001,0.0753771,-0.0261197,1.50009,-0.0754284,-0.025555,1.50009,0.0755705,
0.3838,0,-0.620097,1.5001,-0.0756215,-0.620747,1.5001,0.0753771,-0.0261175,1.50009,-0.0754283,-0.0255528,1.50009,0.0755706,
0.3939,0,-0.620097,1.5001,-0.0756215,-0.620747,1.5001,0.0753771,-0.0261156,1.50009,-0.0754282,-0.0255511,1.50009,0.0755708,
0.404,0,-0.620097,1.5001,-0.0756214,-0.620747,1.5001,0.0753772,-0.0261142,1.50009,-0.0754281,-0.0255496,1.50009,0.0755709,
0.4141,0,-0.620097,1.5001,-0.0756214,-0.620747,1.5001,0.0753772,-0.0261132,1.50009,-0.0754279,-0.0255487,1.50009,0.075571,
0.4242,0,-0.620098,1.5001,-0.0756214,-0.620747,1.5001,0.0753772,-0.0261126,1.50009,-0.0754278,-0.0255481,1.50009,0.0755711,
0.4343,0,-0.620098,1.5001,-0.0756213,-0.620747,1.5001,0.0753773,-0.0261121,1.50009,-0.0754276,-0.0255476,1.50009,0.0755713,
0.4444,0,-0.620098,1.5001,-0.0756213,-0.620747,1.5001,0.0753773,-0.0261116,1.50009,-0.0754275,-0.0255471,1.50009,0.0755714,
0.4545,0,-0.620098,1.5001,-0.0756213,-0.620747,1.5001,0.0753773,-0.0261111,1.50009,-0.0754274,-0.0255466,1.50009,0.0755716,
0.4646,0,-0.620098,1.5001,-0.0756212,-0.620747,1.5001,0.0753774,-0.0261106,1.50009,-0.0754272,-0.0255461,1.50009,0.0755717,
0.4747,0,-0.620098,1.5001,-0.0756212,-0.620747,1.5001,0.0753774,-0.0261101,1.50009,-0.0754271,-0.0255455,1.50009,0.0755719,
0.4848,0,-0.620098,1.5001,-0.0756211,-0.620747,1.5001,0.0753775,-0.0261094,1.50009,-0.0754269,-0.0255449,1.50009,0.075572,
0.4949,0,-0.620098,1.5001,-0.0756211,-0.620748,1.5001,0.0753775,-0.0261088,1.50009,-0.0754268,-0.0255442,1.50009,0.0755721,
0.505,0,-0.620098,1.5001,-0.0756211,-0.620748,1.5001,0.0753775,-0.0261078,1.50009,-0.0754267,-0.0255432,1.50009,0.0755723,
0.5151,0,-0.620098,1.5001,-0.0756211,-0.620748,1.5001,0.0753775,-0.0261066,1.50009,-0.0754265,-0.025542,1.50009,0.0755724,
0.5252,0,-0.620099,1.5001,-0.075621,-0.620748,1.5001,0.0753776,-0.0261052,1.50009,-0.0754264,-0.0255407,1.50009,0.0755726,
0.5353,0,-0.620099,1.5001,-0.075621,-0.620749,1.5001,0.0753776,-0.0261037,1.50009,-0.0754262,-0.0255392,1.50009,0.0755727,
0.5454,0,-0.6201,1.5001,-0.075621,-0.620749,1.5001,0.0753776,-0.0261021,1.50009,-0.0754261,-0.0255377,1.50009,0.0755728,
0.5555,0,-0.6201,1.5001,-0.075621,-0.620749,1.5001,0.0753776,-0.0261005,1.50009,-0.075426,-0.0255361,1.50009,0.075573,
0.5656,0,-0.6201,1.5001,-0.0756209,-0.62075,1.5001,0.0753777,-0.0260988,1.50009,-0.0754258,-0.0255344,1.50009,0.0755731,
0.5757,0,-0.6201,1.5001,-0.0756209,-0.62075,1.5001,0.0753777,-0.0260971,1.50009,-0.0754257,-0.0255327,1.50009,0.0755733,
0.5858,0,-0.620101,1.5001,-0.0756209,-0.62075,1.5001,0.0753777,-0.0260954,1.50009,-0.0754256,-0.025531,1.50009,0.0755734,
0.5959,0,-0.620101,1.5001,-0.0756209,-0.62075,1.5001,0.0753777,-0.0260936,1.50009,-0.0754254,-0.0255293,1.50009,0.0755735,
0.606,0,-0.620101,1.5001,-0.0756208,-0.62075,1.5001,0.0753778,-0.0260919,1.50009,-0.0754253,-0.0255276,1.50009,0.0755737,
0.6161,0,-0.620101,1.5001,-0.0756208,-0.620751,1.5001,0.0753778,-0.0260901,1.50009,-0.0754251,-0.0255259,1.50009,0.0755738,
0.6262,0,-0.620101,1.5001,-0.0756208,-0.620751,1.5001,0.0753778,-0.0260884,1.50009,-0.075425,-0.0255242,1.50009,0.0755739,
0.6363,0,-0.620101,1.5001,-0.0756207,-0.620751,1.5001,0.0753779,-0.0260867,1.50009,-0.0754248,-0.0255225,1.50009,0.0755741,
0.6464,0,-0.620101,1.5001,-0.0756207,-0.620751,1.5001,0.0753779,-0.026085,1.50009,-0.0754247,-0.0255208,1.50009,0.0755742,
0.6565,0,-0.620101,1.5001,-0.0756207,-0.620751,1.5001,0.0753779,-0.0260833,1.50009,-0.0754246,-0.0255191,1.50009,0.0755744,
0.6666,0,-0.620102,1.5001,-0.0756207,-0.620751,1.5001,0.0753779,-0.0260816,1.50009,-0.0754244,-0.0255175,1.50009,0.0755745,
0.6767,0,-0.620102,1.5001,-0.0756206,-0.620751,1.5001,0.075378,-0.0260799,1.50009,-0.0754243,-0.0255158,1.50009,0.0755747,
0.6868,0,-0.620102,1.5001,-0.0756206,-0.620751,1.5001,0.075378,-0.0260783,1.50009,-0.0754242,-0.0255142,1.50009,0.0755748,
0.6969,0,-0.620102,1.5001,-0.0756206,-0.620751,1.5001,0.075378,-0.0260766,1.50009,-0.075424,-0.0255125,1.50009,0.0755749,
0.707,0,-0.620102,1.5001,-0.0756205,-0.620751,1.5001,0.0753781,-0.026075,1.50009,-0.0754239,-0.0255109,1.50009,0.0755751,
0.7171,0,-0.620102,1.5001,-0.0756205,-0.620751,1.5001,0.0753781,-0.0260734,1.50009,-0.0754237,-0.0255093,1.50009,0.0755752,
0.7272,0,-0.620102,1.5001,-0.0756205,-0.620752,1.5001,0.0753781,-0.0260718,1.50009,-0.0754236,-0.0255078,1.50009,0.0755754,
0.7373,0,-0.620102,1.5001,-0.0756205,-0.620752,1.5001,0.0753781,-0.0260702,1.50009,-0.0754234,-0.0255062,1.50009,0.0755755,
0.7474,0,-0.620102,1.5001,-0.0756204,-0.620752,1.5001,0.0753782,-0.0260686,1.50009,-0.0754233,-0.0255046,1.50009,0.0755756,
0.7575,0,-0.620102,1.5001,-0.0756204,-0.620752,1.5001,0.0753782,-0.0260671,1.50009,-0.0754232,-0.0255031,1.50009,0.0755758,
0.7676,0,-0.620102,1.5001,-0.0756204,-0.620752,1.5001,0.0753782,-0.0260655,1.50009,-0.075423,-0.0255016,1.50009,0.0755759,
0.7777,0,-0.620103,1.5001,-0.0756203,-0.620752,1.5001,0.0753783,-0.026064,1.50009,-0.0754229,-0.0255,1.50009,0.0755761,
0.7878,0,-0.620103,1.5001,-0.0756203,-0.620752,1.5001,0.0753783,-0.0260624,1.50009,-0.0754228,-0.0254985,1.50009,0.0755762,
0.7979,0,-0.620103,1.5001,-0.0756203,-0.620752,1.5001,0.0753783,-0.0260609,1.50009,-0.0754226,-0.025497,1.50009,0.0755764,
0.808,0,-0.620103,1.5001,-0.0756203,-0.620753,1.5001,0.0753783,-0.0260593,1.50009,-0.0754225,-0.0254954,1.50009,0.0755765,
0.8181,0,-0.620103,1.5001,-0.0756202,-0.620753,1.5001,0.0753784,-0.0260577,1.50009,-0.0754223,-0.0254939,1.50009,0.0755766,
0.8282,0,-0.620103,1.5001,-0.0756202,-0.620753,1.5001,0.0753784,-0.0260562,1.50009,-0.0754222,-0.0254924,1.50009,0.0755767,
0.8383,0,-0.620104,1.5001,-0.0756202,-0.620753,1.5001,0.0753784,-0.0260546,1.50009,-0.075422,-0.0254908,1.50009,0.0755769,
0.8484,0,-0.620104,1.5001,-0.0756201,-0.620753,1.5001,0.0753785,-0.026053,1.50009,-0.0754219,-0.0254892,1.50009,0.075577,
0.8585,0,-0.620104,1.5001,-0.0756201,-0.620753,1.5001,0.0753785,-0.0260514,1.50009,-0.0754218,-0.0254876,1.50009,0.0755772,
0.8686,0,-0.620104,1.5001,-0.0756201,-0.620753,1.5001,0.0753785,-0.0260497,1.50009,-0.0754216,-0.025486,1.50009,0.0755773,
0.8787,0,-0.620104,1.5001,-0.0756201,-0.620754,1.5001,0.0753785,-0.0260481,1.50009,-0.0754215,-0.0254844,1.50009,0.0755775,
0.8888,0,-0.620104,1.5001,-0.07562,-0.620754,1.5001,0.0753786,-0.0260465,1.50009,-0.0754214,-0.0254828,1.50009,0.0755776,
0.8989,0,-0.620104,1.5001,-0.07562,-0.620754,1.5001,0.0753786,-0.0260448,1.50009,-0.0754212,-0.0254812,1.50009,0.0755778,
0.909,0,-0.620105,1.5001,-0.07562,-0.620754,1.5001,0.0753786,-0.0260431,1.50009,-0.0754211,-0.0254795,1.50009,0.0755779,
0.9191,0,-0.620105,1.5001,-0.0756199,-0.620754,1.5001,0.0753787,-0.0260415,1.50009,-0.0754209,-0.0254779,1.50009,0.075578,
0.9292,0,-0.620105,1.5001,-0.0756199,-0.620754,1.5001,0.0753787,-0.0260398,1.50009,-0.0754208,-0.0254762,1.50009,0.0755782,
0.9393,0,-0.620105,1.5001,-0.0756199,-0.620754,1.5001,0.0753787,-0.0260381,1.50009,-0.0754206,-0.0254745,1.50009,0.0755783,
0.9494,0,-0.620105,1.5001,-0.0756199,-0.620754,1.5001,0.0753787,-0.0260364,1.50009,-0.0754205,-0.0254729,1.50009,0.0755784,
0.9595,0,-0.620105,1.5001,-0.0756198,-0.620755,1.5001,0.0753788,-0.0260347,1.50009,-0.0754204,-0.0254712,1.50009,0.0755786,
0.9696,0,-0.620105,1.5001,-0.0756198,-0.620755,1.5001,0.0753788,-0.026033,1.50009,-0.0754202,-0.0254695,1.50009,0.0755787,
0.9797,0,-0.620105,1.5001,-0.0756198,-0.620755,1.5001,0.0753788,-0.0260313,1.50009,-0.0754201,-0.0254679,1.50009,0.0755789,
0.9898,0,-0.620105,1.5001,-0.0756197,-0.620755,1.5001,0.0753789,-0.0260297,1.50009,-0.07542,-0.0254662,1.50009,0.075579,
0.9999,0,-0.620106,1.5001,-0.0756197,-0.620755,1.5001,0.0753789,-0.026028,1.50009,-0.0754198,-0.0254646,1.50009,0.0755792,
1.01,0,-0.620106,1.5001,-0.0756197,-0.620755,1.5001,0.0753789,-0.0260263,1.50009,-0.0754197,-0.0254629,1.50009,0.0755793,
1.0201,0,-0.620106,1.5001,-0.0756197,-0.620755,1.5001,0.0753789,-0.0260246,1.50009,-0.0754195,-0.0254613,1.50009,0.0755794,
1.0302,0,-0.620106,1.5001,-0.0756196,-0.620755,1.5001,0.075379,-0.026023,1.50009,-0.0754194,-0.0254596,1.50009,0.0755796,
1.0403,0,-0.620106,1.5001,-0.0756196,-0.620756,1.5001,0.075379,-0.0260213,1.50009,-0.0754192,-0.025458,1.50009,0.0755797,
1.0504,0,-0.620106,1.5001,-0.0756196,-0.620756,1.5001,0.075379,-0.0260197,1.50009,-0.0754191,-0.0254563,1.50009,0.0755798,
1.0605,0,-0.620107,1.5001,-0.0756195,-0.620756,1.5001,0.0753791,-0.026018,1.50009,-0.0754189,-0.0254547,1.50009,0.07558,
1.0706,0,-0.620107,1.5001,-0.0756195,-0.620756,1.5001,0.0753791,-0.0260163,1.50009,-0.0754188,-0.0254531,1.50009,0.0755801,
1.0807,0,-0.620107,1.5001,-0.0756195,-0.620756,1.5001,0.0753791,-0.0260147,1.50009,-0.0754187,-0.0254514,1.50009,0.0755803,
1.0908,0,-0.620107,1.5001,-0.0756195,-0.620756,1.5001,0.0753791,-0.026013,1.50009,-0.0754185,-0.0254498,1.50009,0.0755804,
1.1009,0,-0.620107,1.5001,-0.0756194,-0.620757,1.5001,0.0753792,-0.0260113,1.50009,-0.0754184,-0.0254481,1.50009,0.0755806,
1.111,0,-0.620107,1.5001,-0.0756194,-0.620757,1.5001,0.0753792,-0.0260097,1.50009,-0.0754183,-0.0254465,1.50009,0.0755807,
1.1211,0,-0.620107,1.5001,-0.0756194,-0.620757,1.5001,0.0753792,-0.026008,1.50009,-0.0754181,-0.0254448,1.50009,0.0755808,
1.1312,0,-0.620108,1.5001,-0.0756193,-0.620757,1.5001,0.0753793,-0.0260063,1.50009,-0.075418,-0.0254432,1.50009,0.075581,
1.1413,0,-0.620108,1.5001,-0.0756193,-0.620757,1.5001,0.0753793,-0.0260046,1.50009,-0.0754178,-0.0254415,1.50009,0.0755811,
1.1514,0,-0.620108,1.5001,-0.0756193,-0.620757,1.5001,0.0753793,-0.0260029,1.50009,-0.0754177,-0.0254399,1.50009,0.0755812,
1.1615,0,-0.620108,1.5001,-0.0756193,-0.620758,1.5001,0.0753793,-0.0260012,1.50009,-0.0754175,-0.0254382,1.50009,0.0755814,
1.1716,0,-0.620108,1.5001,-0.0756192,-0.620758,1.5001,0.0753794,-0.0259995,1.50009,-0.0754174,-0.0254365,1.50009,0.0755815,
1.1817,0,-0.620108,1.5001,-0.0756192,-0.620758,1.5001,0.0753794,-0.0259978,1.50009,-0.0754173,-0.0254348,1.50009,0.0755817,
1.1918,0,-0.620109,1.5001,-0.0756192,-0.620758,1.5001,0.0753794,-0.0259961,1.50009,-0.0754171,-0.0254331,1.50009,0.0755818,
1.2019,0,-0.620109,1.5001,-0.0756191,-0.620758,1.5001,0.0753795,-0.0259944,1.50009,-0.075417,-0.0254315,1.50009,0.075582,
1.212,0,-0.620109,1.5001,-0.0756191,-0.620758,1.5001,0.0753795,-0.0259927,1.50009,-0.0754169,-0.0254298,1.50009,0.0755821,
1.2221,0,-0.620109,1.5001,-0.0756191,-0.620758,1.5001,0.0753795,-0.025991,1.50009,-0.0754167,-0.0254281,1.50009,0.0755823,
1.2322,0,-0.620109,1.5001,-0.0756191,-0.620759,1.5001,0.0753796,-0.0259893,1.50009,-0.0754166,-0.0254264,1.50009,0.0755824,
1.2423,0,-0.620109,1.5001,-0.075619,-0.620759,1.5001,0.0753796,-0.0259875,1.50009,-0.0754164,-0.0254247,1.50009,0.0755825,
1.2524,0,-0.62011,1.5001,-0.075619,-0.620759,1.5001,0.0753796,-0.0259858,1.50009,-0.0754163,-0.025423,1.50009,0.0755827,
1.2625,0,-0.62011,1.5001,-0.075619,-0.620759,1.5001,0.0753796,-0.0259841,1.50009,-0.0754161,-0.0254213,1.50009,0.0755828,
1.2726,0,-0.62011,1.5001,-0.0756189,-0.620759,1.5001,0.0753797,-0.0259824,1.50009,-0.075416,-0.0254196,1.50009,0.0755829,
1.2827,0,-0.62011,1.5001,-0.0756189,-0.620759,1.5001,0.0753797,-0.0259806,1.50009,-0.0754159,-0.0254179,1.50009,0.0755831,
1.2928,0,-0.62011,1.5001,-0.0756189,-0.62076,1.5001,0.0753797,-0.0259789,1.50009,-0.0754157,-0.0254161,1.50009,0.0755832,
1.3029,0,-0.62011,1.5001,-0.0756189,-0.62076,1.5001,0.0753798,-0.0259772,1.50009,-0.0754156,-0.0254144,1.50009,0.0755834,
1.313,0,-0.620111,1.5001,-0.0756188,-0.62076,1.5001,0.0753798,-0.0259754,1.50009,-0.0754154,-0.0254127,1.50009,0.0755835,
1.3231,0,-0.620111,1.5001,-0.0756188,-0.62076,1.5001,0.0753798,-0.0259737,1.50009,-0.0754153,-0.025411,1.50009,0.0755837,
1.3332,0,-0.620111,1.5001,-0.0756188,-0.62076,1.5001,0.0753798,-0.025972,1.50009,-0.0754152,-0.0254093,1.50009,0.0755838,
1.3433,0,-0.620111,1.5001,-0.0756187,-0.620761,1.5001,0.0753799,-0.0259702,1.50009,-0.075415,-0.0254076,1.50009,0.0755839,
1.3534,0,-0.620111,1.5001,-0.0756187,-0.620761,1.5001,0.0753799,-0.0259685,1.50009,-0.0754149,-0.0254059,1.50009,0.0755841,
1.3635,0,-0.620111,1.5001,-0.0756187,-0.620761,1.5001,0.0753799,-0.0259667,1.50009,-0.0754147,-0.0254042,1.50009,0.0755842,
1.3736,0,-0.620112,1.5001,-0.0756186,-0.620761,1.5001,0.07538,-0.025965,1.50009,-0.0754146,-0.0254025,1.50009,0.0755843,
1.3837,0,-0.620112,1.5001,-0.0756186,-0.620761,1.5001,0.07538,-0.0259633,1.50009,-0.0754144,-0.0254007,1.50009,0.0755845,
1.3938,0,-0.620112,1.5001,-0.0756186,-0.620761,1.5001,0.07538,-0.0259615,1.50009,-0.0754143,-0.025399,1.50009,0.0755846,
1.4039,0,-0.620112,1.5001,-0.0756186,-0.620762,1.5001,0.07538,-0.0259598,1.50009,-0.0754142,-0.0253973,1.50009,0.0755848,
1.414,0,-0.620112,1.5001,-0.0756185,-0.620762,1.5001,0.0753801,-0.025958,1.50009,-0.075414,-0.0253956,1.50009,0.0755849,
1.4241,0,-0.620113,1.5001,-0.0756185,-0.620762,1.5001,0.0753801,-0.0259563,1.50009,-0.0754139,-0.0253938,1.50009,0.0755851,
1.4342,0,-0.620113,1.5001,-0.0756185,-0.620762,1.5001,0.0753801,-0.0259545,1.50009,-0.0754138,-0.0253921,1.50009,0.0755852,
1.4443,0,-0.620113,1.5001,-0.0756184,-0.620762,1.5001,0.0753802,-0.0259528,1.50009,-0.0754136,-0.0253904,1.50009,0.0755854,
1.4544,0,-0.620113,1.5001,-0.0756184,-0.620763,1.5001,0.0753802,-0.025951,1.50009,-0.0754135,-0.0253886,1.50009,0.0755855,
1.4645,0,-0.620113,1.5001,-0.0756184,-0.620763,1.5001,0.0753802,-0.0259492,1.50009,-0.0754133,-0.0253869,1.50009,0.0755856,
1.4746,0,-0.620113,1.5001,-0.0756183,-0.620763,1.5001,0.0753803,-0.0259475,1.50009,-0.0754132,-0.0253852,1.50009,0.0755858,
1.4847,0,-0.620114,1.5001,-0.0756183,-0.620763,1.5001,0.0753803,-0.0259457,1.50009,-0.075413,-0.0253834,1.50009,0.0755859,
1.4948,0,-0.620114,1.5001,-0.0756183,-0.620763,1.5001,0.0753803,-0.0259439,1.50009,-0.0754129,-0.0253817,1.50009,0.075586,
1.5049,0,-0.620114,1.5001,-0.0756183,-0.620764,1.5001,0.0753803,-0.0259421,1.50009,-0.0754127,-0.0253799,1.50009,0.0755862,
1.515,0,-0.620114,1.5001,-0.0756182,-0.620764,1.5001,0.0753804,-0.0259404,1.50009,-0.0754126,-0.0253782,1.50009,0.0755863,
1.5251,0,-0.620114,1.5001,-0.0756182,-0.620764,1.5001,0.0753804,-0.0259386,1.50009,-0.0754125,-0.0253764,1.50009,0.0755865,
1.5352,0,-0.620115,1.5001,-0.0756182,-0.620764,1.5001,0.0753804,-0.0259368,1.50009,-0.0754123,-0.0253746,1.50009,0.0755866,
1.5453,0,-0.620115,1.5001,-0.0756181,-0.620764,1.5001,0.0753805,-0.025935,1.50009,-0.0754122,-0.0253729,1.50009,0.0755868,
1.5554,0,-0.620115,1.5001,-0.0756181,-0.620764,1.5001,0.0753805,-0.0259332,1.50009,-0.0754121,-0.0253711,1.50009,0.0755869,
1.5655,0,-0.620115,1.5001,-0.0756181,-0.620765,1.5001,0.0753805,-0.0259314,1.50009,-0.0754119,-0.0253694,1.50009,0.0755871,
1.5756,0,-0.620115,1.5001,-0.075618,-0.620765,1.5001,0.0753806,-0.0259297,1.50009,-0.0754118,-0.0253676,1.50009,0.0755872,
1.5857,0,-0.620116,1.5001,-0.075618,-0.620765,1.5001,0.0753806,-0.0259279,1.50009,-0.0754116,-0.0253658,1.50009,0.0755873,
1.5958,0,-0.620116,1.5001,-0.075618,-0.620765,1.5001,0.0753806,-0.0259261,1.50009,-0.0754115,-0.0253641,1.50009,0.0755875,
1.6059,0,-0.620116,1.5001,-0.075618,-0.620766,1.5001,0.0753806,-0.0259243,1.50009,-0.0754113,-0.0253623,1.50009,0.0755876,
1.616,0,-0.620116,1.5001,-0.0756179,-0.620766,1.5001,0.0753807,-0.0259225,1.50009,-0.0754112,-0.0253605,1.50009,0.0755877,
1.6261,0,-0.620116,1.5001,-0.0756179,-0.620766,1.5001,0.0753807,-0.0259207,1.50009,-0.075411,-0.0253587,1.50009,0.0755879,
1.6362,0,-0.620117,1.5001,-0.0756179,-0.620766,1.5001,0.0753807,-0.0259189,1.50009,-0.0754109,-0.025357,1.50009,0.075588,
1.6463,0,-0.620117,1.5001,-0.0756178,-0.620766,1.5001,0.0753808,-0.0259171,1.50009,-0.0754108,-0.0253552,1.50009,0.0755882,
1.6564,0,-0.620117,1.5001,-0.0756178,-0.620767,1.5001,0.0753808,-0.0259153,1.50009,-0.0754106,-0.0253534,1.50009,0.0755883,
1.6665,0,-0.620117,1.5001,-0.0756178,-0.620767,1.5001,0.0753808,-0.0259135,1.50009,-0.0754105,-0.0253516,1.50009,0.0755885,
1.6766,0,-0.620117,1.5001,-0.0756178,-0.620767,1.5001,0.0753809,-0.0259116,1.50009,-0.0754104,-0.0253498,1.50009,0.0755886,
1.6867,0,-0.620118,1.5001,-0.0756177,-0.620767,1.5001,0.0753809,-0.0259098,1.50009,-0.0754102,-0.025348,1.50009,0.0755888,
1.6968,0,-0.620118,1.5001,-0.0756177,-0.620767,1.5001,0.0753809,-0.025908,1.50009,-0.0754101,-0.0253463,1.50009,0.0755889,
1.7069,0,-0.620118,1.5001,-0.0756177,-0.620768,1.5001,0.0753809,-0.0259062,1.50009,-0.0754099,-0.0253445,1.50009,0.075589,
1.717,0,-0.620118,1.5001,-0.0756176,-0.620768,1.5001,0.075381,-0.0259044,1.50009,-0.0754098,-0.0253427,1.50009,0.0755892,
1.7271,0,-0.620119,1.5001,-0.0756176,-0.620768,1.5001,0.075381,-0.0259026,1.50009,-0.0754096,-0.0253409,1.50009,0.0755893,
1.7372,0,-0.620119,1.5001,-0.0756176,-0.620768,1.5001,0.075381,-0.0259007,1.50009,-0.0754095,-0.0253391,1.50009,0.0755894,
